TRAFFIC_VOL_COLLECTION_POINT;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053
116BSP2430_3;51646;52068;53166;55288;57691;60298;62024;63605;65170;66814;68530;70281;72028;73756;75476;77200;78938;80697;82478;84284;86113;87967;89843;91743;93664;95606;97567;99548;101545;103559;105586;107627;109679;111740;113811;115888
116BSP2430_2m;24976;25174;25367;25554;25735;25909;26077;26238;26392;26540;26680;26812;26938;27056;27166;27270;27365;27453;27534;27607;27673;27732;27782;27826;27863;27892;27914;27930;27938;27940;27935;27923;27904;27904;27904;27904
116BSP2430_3;51646;52068;53166;55288;57691;60298;62024;63605;65170;66814;68530;70281;72028;73756;75476;77200;78938;80697;82478;84284;86113;87967;89843;91743;93664;95606;97567;99548;101545;103559;105586;107627;109679;111740;113811;115888
116BSP2430_1m;45964;46328;46683;47027;47360;47681;47990;48286;48570;48841;49099;49343;49574;49791;49995;50184;50360;50523;50671;50806;50927;51034;51128;51208;51276;51330;51371;51399;51415;51418;51408;51386;51352;51352;51352;51352
116BSP2430_2;60846;61337;62612;64938;67553;70377;72324;74123;75911;77781;79726;81711;83694;85662;87625;89596;91584;93596;95634;97699;99790;101909;104053;106223;108417;110635;112874;115133;117412;119709;122021;124347;126685;129034;131392;133758
116BSP2430_1;49536;49948;51022;53115;55495;58079;59782;61335;62873;64490;66179;67903;69623;71325;73018;74715;76428;78161;79917;81697;83502;85330;87183;89058;90956;92875;94814;96772;98748;100740;102748;104768;106800;108843;110895;112954
116BSP2450_4m;9985;10064;10141;10216;10288;10358;10425;10490;10551;10610;10666;10719;10769;10816;10861;10902;10940;10975;11008;11037;11063;11087;11107;11124;11139;11151;11160;11166;11169;11170;11168;11163;11155;11155;11155;11155
116BSP2450_4;47579;47974;49001;51389;54227;57316;59147;60680;62198;63796;65469;67177;68878;70558;72227;73899;75584;77289;79016;80766;82540;84338;86159;88002;89867;91752;93657;95581;97522;99479;101450;103434;105429;107434;109448;111469
116BSP2450_3;79077;79715;81373;84506;88109;92038;94711;97096;99417;101832;104335;106887;109445;111995;114547;117114;119708;122333;124993;127689;130420;133186;135986;138819;141684;144578;147502;150452;153427;156425;159443;162480;165532;168598;171676;174764
116BSP2450_2;49649;50063;51139;53710;56604;59808;61621;63291;64891;66583;68358;70172;71974;73748;75506;77264;79035;80826;82640;84478;86342;88230;90143;92079;94038;96020;98021;100043;102083;104139;106211;108297;110394;112503;114621;116746
116BSP2450_2;49649;50063;51139;53710;56604;59808;61621;63291;64891;66583;68358;70172;71974;73748;75506;77264;79035;80826;82640;84478;86342;88230;90143;92079;94038;96020;98021;100043;102083;104139;106211;108297;110394;112503;114621;116746
116BSP2450_2;49649;50063;51139;53710;56604;59808;61621;63291;64891;66583;68358;70172;71974;73748;75506;77264;79035;80826;82640;84478;86342;88230;90143;92079;94038;96020;98021;100043;102083;104139;106211;108297;110394;112503;114621;116746
116BSP2450_2;49649;50063;51139;53710;56604;59808;61621;63291;64891;66583;68358;70172;71974;73748;75506;77264;79035;80826;82640;84478;86342;88230;90143;92079;94038;96020;98021;100043;102083;104139;106211;108297;110394;112503;114621;116746
116BSP2450_1;54685;55143;56336;59041;62073;65417;67372;69189;70938;72781;74712;76684;78647;80585;82510;84438;86382;88348;90341;92360;94408;96484;98586;100714;102868;105046;107248;109471;111714;113976;116255;118550;120857;123177;125508;127847
116BSP2470_3;43842;44203;45145;46979;49768;52865;55221;56690;58097;59577;61121;62698;64271;65827;67375;68927;70493;72077;73682;75308;76957;78627;80319;82031;83763;85515;87284;89071;90873;92690;94521;96363;98215;100077;101947;103823
